Thoi_Gian_Giay,Nhiet_Do_C
0.0,16.6
0.5,16.6
1.0,16.6
1.5,16.5
2.0,16.5
2.5,16.5
3.0,16.5
3.5,16.5
4.0,16.5
4.5,16.5
5.0,16.4
5.5,16.4
6.0,16.4
6.5,16.4
7.0,16.4
7.5,16.4
8.0,16.4
8.5,16.4
9.0,16.4
9.5,16.4
10.0,16.4
10.5,16.4
11.0,16.4
11.5,16.4
12.0,16.1
12.5,16.3
15.5,16.3
16.0,16.3
16.5,16.3
17.0,16.3
17.5,16.3
18.0,16.3
18.5,16.3
19.0,16.3
19.5,16.3
22.5,16.3
23.0,16.3
23.5,16.3
24.0,16.3
24.5,16.3
25.0,16.3
25.5,16.3
26.0,16.3
26.5,16.3
29.5,16.3
30.0,16.3
30.5,16.4
31.0,16.3
31.5,16.4
32.0,16.3
32.5,16.4
33.0,16.4
33.5,16.4
36.5,16.4
37.0,16.4
37.5,16.4
38.0,16.4
38.5,16.4
39.0,16.5
39.5,16.5
40.0,16.5
40.5,16.5
43.5,16.5
44.0,16.6
44.5,16.6
45.0,16.6
45.5,16.6
46.0,16.6
46.5,16.6
47.0,16.6
47.5,16.6
50.5,16.7
51.0,16.7
51.5,16.8
52.0,16.8
52.5,16.8
53.0,16.8
53.5,16.8
54.0,16.8
54.5,16.8
57.5,16.9
58.0,16.9
58.5,17
59.0,17
59.5,17.1
60.0,17.1
60.5,17.1
61.0,17.1
61.5,17.1
63.0,17.7
63.5,17.1
64.0,17.5
64.5,17.2
65.0,17.3
65.5,17.3
66.0,17.3
66.5,17.3
67.0,17.4
67.5,17.4
68.0,17.4
68.5,17.4
69.5,17.8
70.0,17.6
70.5,18
71.0,17.9
71.5,17.6
72.0,17.6
72.5,17.6
73.0,17.6
73.5,17.7
74.0,17.7
74.5,17.7
75.0,17.7
75.5,17.8
76.0,18.1
78.5,17.9
79.0,17.9
79.5,17.9
80.0,18
80.5,18
81.0,18
81.5,18.1
82.0,18.1
82.5,18.1
84.5,18.2
85.0,18.8
85.5,18.3
86.0,18.3
86.5,18.3
87.0,18.3
87.5,18.3
88.0,18.4
88.5,18.4
89.0,18.4
89.5,18.4
92.5,18.6
93.0,18.6
93.5,18.6
94.0,18.6
94.5,18.6
95.0,18.7
95.5,18.7
96.0,18.7
96.5,18.7
97.0,19.5
97.5,18.3
98.0,18.1
99.5,18.8
100.0,18.8
100.5,18.9
101.0,18.9
101.5,18.9
102.0,18.9
102.5,18.9
103.0,18.9
103.5,19
106.5,19.1
107.0,19.1
107.5,19.1
108.0,19.2
108.5,19.2
109.0,19.2
109.5,19.3
110.0,19.3
110.5,19.3
111.0,19.3
111.5,19.6
113.5,19.4
114.0,19.5
114.5,19.5
115.0,19.6
115.5,19.5
116.0,19.6
116.5,19.6
117.0,19.6
117.5,19.6
120.5,19.8
121.0,19.8
121.5,19.8
122.0,19.9
122.5,19.9
123.0,19.9
123.5,19.9
124.0,19.9
124.5,20
127.5,20.1
128.0,20.1
128.5,20.1
129.0,20.2
129.5,20.2
130.0,20.2
130.5,20.2
131.0,20.2
131.5,20.3
132.0,19.8
132.5,20.6
134.5,20.4
135.0,20.4
135.5,20.4
136.0,20.5
136.5,20.5
137.0,20.5
137.5,20.5
138.0,20.6
138.5,20.6
141.0,20.9
141.5,20.8
142.0,20.8
142.5,20.9
143.0,20.9
143.5,21
144.0,21
144.5,21
145.0,21.1
145.5,21.1
147.5,21.4
148.0,21.8
148.5,21.4
149.0,21.4
149.5,21.5
150.0,21.6
150.5,21.6
151.0,21.7
151.5,21.7
152.0,21.8
152.5,21.8
154.0,22.1
154.5,22.1
155.0,22.6
155.5,22.1
156.0,22.2
156.5,22.3
157.0,22.3
157.5,22.3
158.0,22.4
158.5,22.4
159.0,22.5
159.5,22.5
162.5,22.7
163.0,22.8
163.5,22.8
164.0,22.8
164.5,22.8
165.0,22.9
165.5,22.9
166.0,22.9
166.5,23
169.5,23.1
170.0,23.2
170.5,23.2
171.0,23.2
171.5,23.2
172.0,23.2
172.5,23.3
173.0,23.3
173.5,23.3
174.0,23.3
176.5,23.5
177.0,23.5
177.5,23.6
178.0,23.6
178.5,23.6
179.0,23.6
179.5,23.7
180.0,23.7
180.5,23.7
181.0,23.8
181.5,23.8
183.5,23.8
184.0,23.8
184.5,23.9
185.0,23.9
185.5,23.9
186.0,24
186.5,24
187.0,24
187.5,24
188.0,24
188.5,24.6
189.0,24.5
190.5,24.6
191.0,24.1
191.5,24.2
192.0,24.2
192.5,24.2
193.0,24.2
193.5,24.2
194.0,24.2
194.5,24.2
195.0,24.3
197.5,24.4
198.0,24.4
198.5,24.4
199.0,24.4
199.5,24.4
200.0,24.4
200.5,24.4
201.0,24.5
201.5,24.5
202.0,24.5
202.5,24.8
203.0,24.6
204.5,24.7
205.0,24.7
205.5,24.7
206.0,24.8
206.5,24.8
207.0,24.8
207.5,24.9
208.0,24.8
208.5,24.9
209.0,24.9
209.5,24.9
210.0,24.9
210.5,25
211.0,25
211.5,25
212.0,25
212.5,25.1
213.0,25.1
213.5,25.1
214.0,25.1
214.5,25.1
215.0,25.1
215.5,25.2
216.0,25.2
216.5,25.2
217.0,25.2
217.5,25.2
218.0,25.2
218.5,25.2
219.0,25.2
219.5,25.3
220.0,25.3
220.5,25.3
221.0,25.3
221.5,25.3
222.0,25.3
222.5,25.3
223.0,25.4
223.5,25.4
224.0,25.4
224.5,25.4
225.0,25.4
225.5,25.4
226.0,25.4
226.5,25.4
227.0,25.4
227.5,25.4
228.0,25.4
228.5,25.5
229.0,25.5
229.5,25.5
230.0,25.5
230.5,25.5
231.0,25.5
231.5,25.5
232.0,25.5
232.5,25.5
233.0,25.5
233.5,25.5
234.0,25.5
234.5,25.5
235.0,25.6
235.5,25.5
236.0,25.5
236.5,25.5
237.0,25.6
237.5,25.6
238.0,25.6
238.5,25.6
239.0,25.6
239.5,25.6
240.0,25.6
240.5,25.6
241.0,25.6
241.5,25.6
242.0,25.6
242.5,25.7
243.0,25.6
243.5,25.6
244.0,25.7
244.5,25.6
245.0,25.7
245.5,25.7
246.0,25.7
246.5,25.6
247.0,25.6
247.5,25.7
248.0,25.7
248.5,25.6
249.0,25.7
249.5,25.7
250.0,25.7
250.5,25.7
251.0,25.7
251.5,25.7
252.0,25.7
252.5,25.7
253.0,25.7
253.5,25.7
254.0,25.7
254.5,25.7
255.0,25.7
255.5,25.8
256.0,25.8
256.5,25.8
257.0,25.8
257.5,25.8
258.0,25.8
258.5,25.8
259.0,25.8
259.5,25.8
260.0,25.8
260.5,25.8
261.0,25.8
261.5,25.8
262.0,25.8
262.5,25.8
263.0,25.8
263.5,25.9
264.0,25.8
264.5,25.9
265.0,25.9
265.5,25.9
266.0,25.9
