Thoi_Gian_Giay,Nhiet_Do_C
0,42.6
0.5,42.6
1,42.6
1.5,42.6
2,42.6
2.5,42.6
3,42.6
3.5,42.6
4,42.6
4.5,42.6
5,42.6
5.5,42.6
6,42.6
6.5,42.6
7,42.6
7.5,42.6
8,42.6
8.5,42.6
9,42.6
9.5,42.6
10,42.6
10.5,42.5
11,42.5
11.5,42.5
12,42.5
12.5,42.5
13,42.5
13.5,42.5
14,42.5
14.5,42.5
15,42.5
15.5,42.5
16,42.4
16.5,42.4
17,42.4
17.5,42.4
18,42.4
18.5,42.4
19,42.4
19.5,42.4
20,42.4
20.5,42.3
21,42.3
21.5,42.3
22,42.3
22.5,42.3
23,42.3
23.5,42.3
24,42.2
24.5,42.2
25,42.2
25.5,42.2
26,42.2
26.5,42.2
27,42.1
27.5,42.1
28,42.1
28.5,42.1
29,42.1
29.5,42.1
30,42
30.5,42
31,42
31.5,42
32,41.9
32.5,41.9
33,41.9
33.5,41.9
34,41.9
34.5,41.9
35,41.8
35.5,41.8
36,41.8
36.5,41.7
37,41.6
37.5,41.5
38,41.4
38.5,41.3
39,41.2
39.5,41.1
40,41
40.5,40.9
41,40.8
41.5,40.7
42,40.6
42.5,40.4
43,40.3
43.5,40.2
44,40.1
44.5,40
45,39.9
45.5,39.8
46,39.6
46.5,39.5
47,39.4
47.5,39.3
48,39.2
48.5,39.1
49,39
49.5,38.9
50,38.7
50.5,38.6
51,38.5
51.5,38.4
52,38.3
52.5,38.1
53,38
53.5,37.9
54,37.7
54.5,37.7
55,37.5
55.5,37.5
56,37.4
56.5,37.3
57,37.2
57.5,37
58,36.9
58.5,36.7
59,36.6
59.5,36.5
60,36.4
60.5,36.3
61,36.2
61.5,36.1
62,36
62.5,35.9
63,35.7
63.5,35.7
64,35.6
64.5,35.5
65,35.4
65.5,35.3
66,35.2
66.5,35.1
67,35
67.5,34.9
68,34.8
68.5,34.7
69,34.6
69.5,34.6
70,34.5
70.5,34.4
71,34.3
71.5,34.2
72,34.1
72.5,34
73,33.9
73.5,33.9
74,33.8
74.5,33.7
75,33.6
75.5,33.5
76,33.5
76.5,33.4
77,33.3
77.5,33.2
78,33.2
78.5,33.1
79,33.1
79.5,33
80,32.9
80.5,32.8
81,32.8
81.5,32.7
82,32.7
82.5,32.6
83,32.6
83.5,32.5
84,32.5
84.5,32.4
85,32.4
85.5,32.4
86,32.3
86.5,32.3
87,32.2
87.5,32.2
88,32.3
88.5,32.3
89,32.3
89.5,32.2
90,32.2
90.5,32.2
91,32.2
91.5,32.1
92,32
92.5,32
93,31.9
93.5,31.8
94,31.8
94.5,31.8
95,31.7
95.5,31.6
96,31.6
96.5,31.5
97,31.5
97.5,31.5
98,31.4
98.5,31.4
99,31.3
99.5,31.3
100,31.3
100.5,31.2
101,31.2
101.5,31.2
102,31.1
102.5,31.1
103,31
103.5,31
104,30.9
104.5,30.9
105,30.8
105.5,30.8
106,30.7
106.5,30.7
107,30.7
107.5,30.6
108,30.6
108.5,30.6
109,30.5
109.5,30.5
110,30.4
110.5,30.4
111,30.4
111.5,30.3
112,30.3
112.5,30.2
113,30.2
113.5,30.1
114,30.1
114.5,30
115,30
115.5,30
116,29.9
116.5,29.9
117,29.9
117.5,29.8
118,29.8
118.5,29.7
119,29.7
119.5,29.6
120,29.6
120.5,29.6
121,29.5
121.5,29.5
122,29.4
122.5,29.4
123,29.4
123.5,29.3
124,29.3
124.5,29.2
125,29.2
125.5,29.1
126,29.1
126.5,29.1
127,29
127.5,29
128,28.9
128.5,28.9
129,28.8
129.5,28.8
130,28.7
130.5,28.7
131,28.7
131.5,28.6
132,28.6
132.5,28.6
133,28.5
133.5,28.4
134,28.4
134.5,28.4
135,28.3
135.5,28.3
136,28.3
136.5,28.2
137,28.2
137.5,28.1
138,28.1
138.5,28.1
139,28
139.5,28
140,28
140.5,27.9
141,27.9
141.5,27.9
142,27.8
142.5,27.8
143,27.7
143.5,27.7
144,27.7
144.5,27.6
145,27.6
145.5,27.6
146,27.5
146.5,27.5
147,27.5
147.5,27.4
148,27.4
148.5,27.4
149,27.3
149.5,27.3
150,27.2
150.5,27.2
151,27.2
151.5,27.1
152,27.1
152.5,27
153,27
153.5,27
154,27
