Thoi_Gian_Giay,Nhiet_Do_C
0.0,34
0.5,33.9
1.0,33.9
1.5,33.9
2.0,33.9
2.5,33.8
3.0,33.8
3.5,33.7
4.0,33.7
4.5,33.7
5.0,33.7
5.5,33.6
6.0,33.6
6.5,33.6
7.0,33.6
7.5,33.5
8.0,33.5
8.5,33.4
9.0,33.5
9.5,33.4
10.0,33.4
10.5,33.4
11.0,33.3
11.5,33.3
12.0,33.3
12.5,33.3
13.0,33.2
13.5,33.2
14.0,33.2
14.5,33.2
15.0,33.1
15.5,33.1
16.0,33.1
16.5,33.1
17.0,33
17.5,33
18.0,32.9
18.5,32.9
19.0,32.9
19.5,32.8
20.0,32.9
20.5,32.8
21.0,32.8
21.5,32.8
22.0,32.8
22.5,32.7
23.0,32.7
23.5,32.7
24.0,32.7
24.5,32.6
25.0,32.6
25.5,32.6
26.0,32.6
26.5,32.6
27.0,32.5
27.5,32.5
28.0,32.5
28.5,32.5
29.0,32.5
29.5,32.4
30.0,32.4
30.5,32.4
31.0,32.4
31.5,32.3
32.0,32.3
32.5,32.3
33.0,32.3
33.5,32.3
34.0,32.3
34.5,32.2
35.0,32.2
35.5,32.2
36.0,32.2
36.5,32.2
37.0,32.1
37.5,32.1
38.0,32.1
38.5,32.1
39.0,32
39.5,32
40.0,32
40.5,32
41.0,32
41.5,32
42.0,31.9
42.5,31.9
43.0,31.9
43.5,31.9
44.0,31.9
44.5,31.8
45.0,31.8
45.5,31.8
46.0,31.8
46.5,31.8
47.0,31.8
47.5,31.7
48.0,31.7
48.5,31.7
49.0,31.7
49.5,31.7
50.0,31.7
50.5,31.6
51.0,31.6
51.5,31.6
52.0,31.6
52.5,31.6
53.0,31.5
53.5,31.6
54.0,31.5
54.5,31.5
55.0,31.5
55.5,31.5
56.0,31.4
56.5,31.4
57.0,31.4
57.5,31.4
58.0,31.4
58.5,31.3
59.0,31.4
59.5,31.3
60.0,31.3
60.5,31.3
61.0,31.3
61.5,31.3
62.0,31.2
62.5,31.2
63.0,31.2
63.5,31.2
64.0,31.2
64.5,31.2
65.0,31.2
65.5,31.1
66.0,31.1
66.5,31.1
67.0,31.1
67.5,31.1
68.0,31
68.5,31
69.0,31
69.5,31
70.0,30.9
70.5,30.9
71.0,30.9
71.5,30.9
72.0,30.9
72.5,30.9
73.0,30.8
73.5,30.8
74.0,30.8
74.5,30.8
75.0,30.8
75.5,30.8
76.0,30.8
76.5,30.8
77.0,30.8
77.5,30.7
78.0,30.7
78.5,30.7
79.0,30.7
79.5,30.7
80.0,30.7
80.5,30.7
81.0,30.7
81.5,30.6
82.0,30.6
82.5,30.6
83.0,30.6
83.5,30.6
84.0,30.6
84.5,30.6
85.0,30.6
85.5,30.5
86.0,30.5
86.5,30.5
87.0,30.5
87.5,30.5
88.0,30.5
88.5,30.5
89.0,30.4
89.5,30.4
90.0,30.4
90.5,30.4
91.0,30.4
91.5,30.4
92.0,30.4
92.5,30.4
93.0,30.4
93.5,30.3
94.0,30.3
94.5,30.3
95.0,30.3
95.5,30.3
96.0,30.3
96.5,30.3
97.0,30.3
97.5,30.3
98.0,30.3
98.5,30.2
99.0,30.2
99.5,30.2
100.0,30.2
100.5,30.2
101.0,30.2
101.5,30.2
102.0,30.2
102.5,30.1
103.0,30.1
103.5,30.1
104.0,30.1
104.5,30.1
105.0,30.1
105.5,30.1
106.0,30.1
106.5,30.1
107.0,30.1
107.5,30.1
108.0,30
108.5,30
109.0,30
109.5,30
110.0,30
110.5,30
111.0,30
111.5,30
112.0,30
112.5,29.9
113.0,29.9
113.5,29.9
114.0,29.9
114.5,29.9
115.0,29.9
115.5,29.9
116.0,29.9
116.5,29.9
117.0,29.9
117.5,29.9
118.0,29.9
118.5,29.8
119.0,29.8
119.5,29.8
120.0,29.8
120.5,29.8
121.0,29.8
121.5,29.8
122.0,29.8
122.5,29.8
123.0,29.8
123.5,29.8
124.0,29.8
124.5,29.8
125.0,29.7
125.5,29.8
126.0,29.7
126.5,29.7
127.0,29.7
127.5,29.7
128.0,29.7
128.5,29.7
129.0,29.7
129.5,29.7
130.0,29.7
130.5,29.7
131.0,29.7
131.5,29.6
132.0,29.6
132.5,29.6
133.0,29.6
133.5,29.6
134.0,29.6
134.5,29.6
135.0,29.6
135.5,29.6
136.0,29.6
136.5,29.6
137.0,29.6
137.5,29.6
138.0,29.5
138.5,29.5
139.0,29.6
139.5,29.5
140.0,29.5
140.5,29.5
141.0,29.5
141.5,29.5
142.0,29.5
142.5,29.5
143.0,29.5
143.5,29.5
144.0,29.5
144.5,29.5
145.0,29.5
145.5,29.4
146.0,29.5
146.5,29.4
147.0,29.4
147.5,29.4
148.0,29.4
148.5,29.4
149.0,29.4
149.5,29.4
150.0,29.4
150.5,29.4
151.0,29.4
151.5,29.4
152.0,29.3
152.5,29.3
153.0,29.4
153.5,29.3
154.0,29.3
154.5,29.3
155.0,29.3
155.5,29.3
156.0,29.3
156.5,29.3
157.0,29.3
157.5,29.3
158.0,29.3
158.5,29.2
159.0,29.2
159.5,29.3
160.0,29.2
160.5,29.2
161.0,29.2
161.5,29.2
162.0,29.2
162.5,29.2
163.0,29.2
163.5,29.2
164.0,29.2
164.5,29.2
165.0,29.1
165.5,29.1
166.0,29.1
166.5,29.1
167.0,29.1
167.5,29.1
168.0,29.1
168.5,29.1
169.0,29.1
169.5,29.1
170.0,29.1
170.5,29.1
171.0,29
171.5,29
172.0,29
172.5,29
173.0,29
173.5,29
174.0,29
174.5,29
175.0,29
175.5,29
176.0,29
176.5,29
177.0,29
177.5,29
178.0,29
178.5,29
179.0,28.9
179.5,28.9
180.0,28.9
180.5,28.9
181.0,28.9
181.5,28.9
182.0,28.9
182.5,28.9
183.0,28.9
183.5,28.9
184.0,28.9
184.5,28.8
185.0,28.9
185.5,28.8
186.0,28.8
186.5,28.8
187.0,28.8
187.5,28.8
188.0,28.8
188.5,28.8
189.0,28.8
189.5,28.8
190.0,28.8
190.5,28.8
191.0,28.8
191.5,28.8
192.0,28.8
192.5,28.8
193.0,28.8
193.5,28.7
194.0,28.7
194.5,28.7
195.0,28.7
195.5,28.7
196.0,28.7
196.5,28.7
197.0,28.7
197.5,28.7
198.0,28.7
198.5,28.7
199.0,28.7
199.5,28.7
200.0,28.7
200.5,28.7
201.0,28.7
201.5,28.7
202.0,28.6
202.5,28.7
203.0,28.7
203.5,28.6
204.0,28.6
204.5,28.6
205.0,28.6
205.5,28.6
206.0,28.6
206.5,28.6
207.0,28.6
207.5,28.6
208.0,28.6
208.5,28.6
209.0,28.6
209.5,28.6
210.0,28.6
210.5,28.5
211.0,28.5
211.5,28.6
212.0,28.5
212.5,28.5
213.0,28.5
213.5,28.5
214.0,28.5
214.5,28.5
215.0,28.5
215.5,28.5
216.0,28.5
216.5,28.5
217.0,28.5
217.5,28.5
218.0,28.5
218.5,28.5
219.0,28.5
219.5,28.5
220.0,28.5
220.5,28.5
221.0,28.5
221.5,28.5
222.0,28.5
222.5,28.5
223.0,28.5
223.5,28.5
224.0,28.5
224.5,28.5
225.0,28.5
225.5,28.5
226.0,28.5
226.5,28.5
227.0,28.5
227.5,28.5
228.0,28.6
228.5,28.6
229.0,28.6
229.5,28.6
230.0,28.6
230.5,28.6
231.0,28.6
231.5,28.6
232.0,28.7
232.5,28.7
233.0,28.7
233.5,28.7
234.0,28.7
234.5,28.7
235.0,28.8
235.5,28.8
236.0,28.8
236.5,28.8
237.0,28.8
237.5,28.8
238.0,28.8
238.5,28.9
239.0,28.9
239.5,28.9
240.0,28.9
240.5,29
241.0,29
241.5,29
242.0,29
242.5,29
243.0,29
243.5,29
244.0,29.1
244.5,29.1
245.0,29.1
245.5,29.1
246.0,29.1
246.5,29.1
247.0,29.1
247.5,29.1
248.0,29.2
248.5,29.2
249.0,29.2
249.5,29.2
250.0,29.2
250.5,29.2
251.0,29.2
251.5,29.3
252.0,29.3
252.5,29.3
253.0,29.3
253.5,29.3
254.0,29.3
254.5,29.3
255.0,29.3
255.5,29.3
256.0,29.3
256.5,29.3
257.0,29.3
257.5,29.3
258.0,29.4
258.5,29.4
259.0,29.4
259.5,29.4
260.0,29.4
260.5,29.4
261.0,29.4
261.5,29.4
262.0,29.4
262.5,29.4
263.0,29.4
263.5,29.4
264.0,29.4
264.5,29.4
265.0,29.4
265.5,29.4
266.0,29.4
266.5,29.4
267.0,29.5
267.5,29.5
268.0,29.5
268.5,29.5
269.0,29.5
269.5,29.5
270.0,29.5
270.5,29.5
271.0,29.5
271.5,29.5
272.0,29.5
272.5,29.5
273.0,29.5
273.5,29.5
274.0,29.5
274.5,29.5
275.0,29.5
275.5,29.5
276.0,29.5
276.5,29.5
277.0,29.5
277.5,29.5
278.0,29.5
278.5,29.5
279.0,29.5
279.5,29.6
280.0,29.6
280.5,29.5
281.0,29.5
281.5,29.5
282.0,29.6
282.5,29.5
283.0,29.6
283.5,29.6
284.0,29.6
284.5,29.6
285.0,29.6
285.5,29.6
286.0,29.6
286.5,29.6
287.0,29.6
287.5,29.6
288.0,29.6
288.5,29.6
289.0,29.6
289.5,29.6
290.0,29.6
290.5,29.6
291.0,29.6
291.5,29.6
292.0,29.6
292.5,29.6
293.0,29.6
293.5,29.6
294.0,29.6
294.5,29.6
295.0,29.6
295.5,29.6
296.0,29.6
296.5,29.6
297.0,29.6
297.5,29.6
298.0,29.6
298.5,29.6
299.0,29.6
299.5,29.6
300.0,29.6
300.5,29.6
301.0,29.6
301.5,29.6
302.0,29.6
302.5,29.6
303.0,29.6
303.5,29.6
304.0,29.6
304.5,29.6
305.0,29.6
305.5,29.6
306.0,29.6
306.5,29.6
307.0,29.6
307.5,29.6
308.0,29.6
308.5,29.6
309.0,29.6
309.5,29.6
310.0,29.6
310.5,29.6
311.0,29.6
311.5,29.6
312.0,29.6
312.5,29.6
313.0,29.6
313.5,29.6
314.0,29.6
314.5,29.6
315.0,29.6
315.5,29.6
316.0,29.6
316.5,29.6
317.0,29.6
317.5,29.6
318.0,29.6
318.5,29.6
319.0,29.6
319.5,29.6
320.0,29.6
320.5,29.6
321.0,29.6
321.5,29.6
322.0,29.6
322.5,29.6
323.0,29.6
323.5,29.6
324.0,29.6
324.5,29.6
325.0,29.6
325.5,29.6
326.0,29.5
326.5,29.6
327.0,29.6
327.5,29.6
328.0,29.6
328.5,29.6
329.0,29.5
329.5,29.5
330.0,29.5
330.5,29.5
331.0,29.6
331.5,29.5
332.0,29.5
332.5,29.6
333.0,29.5
333.5,29.5
334.0,29.6
334.5,29.5
335.0,29.6
335.5,29.5
336.0,29.5
336.5,29.5
337.0,29.5
337.5,29.5
338.0,29.5
338.5,29.5
339.0,29.5
339.5,29.5
340.0,29.5
340.5,29.5
341.0,29.5
341.5,29.5
342.0,29.5
342.5,29.5
343.0,29.5
343.5,29.5
344.0,29.5
344.5,29.5
