Thoi_Gian_Giay,Nhiet_Do_C
0,30.5
0.5,30.4
1,30.4
1.5,30.4
2,30.5
2.5,30.4
3,30.4
3.5,30.4
4,30.4
4.5,30.4
5,30.4
5.5,30.4
6,30.4
6.5,30.4
7,30.4
7.5,30.3
8,30.3
8.5,30.3
9,30.3
9.5,30.3
10,30.3
10.5,30.3
11,30.3
11.5,30.3
12,30.3
12.5,30.3
13,30.3
13.5,30.3
14,30.3
14.5,30.2
15,30.2
15.5,30.3
16,30.2
16.5,30.2
17,30.2
17.5,30.2
18,30.2
18.5,30.1
19,30.1
19.5,30.1
20,30.1
20.5,30.1
21,30
21.5,30
22,30
22.5,29.9
23,29.9
23.5,29.9
24,29.9
24.5,29.8
25,29.8
25.5,29.8
26,29.8
26.5,29.7
27,29.7
27.5,29.7
28,29.7
28.5,29.6
29,29.6
29.5,29.6
30,29.6
30.5,29.5
31,29.5
31.5,29.5
32,29.5
32.5,29.4
33,29.4
33.5,29.4
34,29.4
34.5,29.4
35,29.3
35.5,29.3
36,29.3
36.5,29.3
37,29.3
37.5,29.3
38,29.2
38.5,29.3
39,29.2
39.5,29.2
40,29.2
40.5,29.2
41,29.2
41.5,29.2
42,29.1
42.5,29.1
43,29.1
43.5,29.1
44,29.1
44.5,29.1
45,29.1
45.5,29.1
46,29.1
46.5,29
47,29
47.5,29
48,29
48.5,29
49,29
49.5,29
50,29
50.5,29
51,29
51.5,29
52,28.9
52.5,28.9
53,28.9
53.5,28.9
54,28.9
54.5,28.9
55,28.9
55.5,28.8
56,28.8
56.5,28.8
57,28.8
57.5,28.8
58,28.8
58.5,28.8
59,28.8
59.5,28.8
60,28.8
60.5,28.8
61,28.8
61.5,28.7
62,28.7
62.5,28.8
63,28.7
63.5,28.7
64,28.7
64.5,28.7
65,28.7
65.5,28.7
66,28.6
66.5,28.6
67,28.7
67.5,28.6
68,28.6
68.5,28.6
69,28.6
69.5,28.6
70,28.6
70.5,28.6
71,28.6
71.5,28.6
72,28.6
72.5,28.6
73,28.6
73.5,28.6
74,28.5
74.5,28.5
75,28.5
75.5,28.5
76,28.5
76.5,28.5
77,28.5
77.5,28.5
78,28.5
78.5,28.5
79,28.5
79.5,28.5
80,28.5
80.5,28.5
81,28.5
81.5,28.5
82,28.5
82.5,28.5
83,28.5
83.5,28.4
84,28.4
84.5,28.4
85,28.4
85.5,28.4
86,28.4
86.5,28.4
87,28.4
87.5,28.4
88,28.4
88.5,28.4
89,28.4
89.5,28.4
90,28.4
90.5,28.4
91,28.4
91.5,28.4
92,28.4
92.5,28.3
93,28.4
93.5,28.4
94,28.3
94.5,28.3
95,28.3
95.5,28.3
96,28.3
96.5,28.3
97,28.3
97.5,28.3
98,28.3
98.5,28.3
99,28.3
99.5,28.3
100,28.3
100.5,28.3
101,28.3
101.5,28.3
102,28.3
102.5,28.3
103,28.3
103.5,28.3
104,28.3
104.5,28.3
105,28.3
105.5,28.3
106,28.3
106.5,28.3
107,28.2
107.5,28.2
108,28.2
108.5,28.2
109,28.2
109.5,28.2
110,28.2
110.5,28.2
111,28.2
111.5,28.2
112,28.2
112.5,28.2
113,28.2
113.5,28.2
114,28.2
114.5,28.2
115,28.2
115.5,28.2
116,28.2
116.5,28.2
117,28.2
117.5,28.2
118,28.2
118.5,28.1
119,28.2
119.5,28.1
120,28.1
120.5,28.2
121,28.1
121.5,28.1
122,28.1
122.5,28.1
123,28.1
123.5,28.1
124,28.1
124.5,28.1
125,28.1
125.5,28.1
126,28.1
126.5,28.1
127,28.1
127.5,28.1
128,28.1
128.5,28.1
129,28.1
129.5,28
130,28
130.5,28
131,28
131.5,28
132,28
132.5,28
133,28
133.5,28
134,28
134.5,28
135,28
135.5,28
136,28
136.5,28
137,28
137.5,28
138,28
138.5,28
139,28
139.5,28
140,27.9
140.5,27.9
141,28
141.5,27.9
142,27.9
142.5,27.9
143,27.9
143.5,27.9
144,27.9
144.5,27.9
145,27.9
145.5,27.9
146,27.9
146.5,27.9
147,27.9
147.5,27.9
148,27.9
148.5,27.9
149,27.9
149.5,27.9
150,27.9
150.5,27.8
151,27.8
151.5,27.8
152,27.9
152.5,27.8
153,27.8
153.5,27.8
154,27.8
154.5,27.8
155,27.8
155.5,27.8
156,27.8
156.5,27.8
157,27.8
157.5,27.8
158,27.8
158.5,27.8
159,27.8
159.5,27.8
160,27.8
160.5,27.8
161,27.8
161.5,27.8
162,27.8
162.5,27.8
163,27.8
163.5,27.8
164,27.8
164.5,27.8
165,27.7
165.5,27.7
166,27.8
166.5,27.7
167,27.7
167.5,27.7
168,27.7
168.5,27.7
169,27.7
169.5,27.7
170,27.7
170.5,27.7
171,27.7
171.5,27.7
172,27.7
172.5,27.7
173,27.7
173.5,27.7
174,27.7
174.5,27.7
175,27.7
175.5,27.7
176,27.7
176.5,27.7
177,27.6
177.5,27.6
178,27.7
178.5,27.6
179,27.6
179.5,27.6
180,27.6
180.5,27.6
181,27.6
181.5,27.6
182,27.6
182.5,27.6
183,27.6
183.5,27.6
184,27.6
184.5,27.6
185,27.6
185.5,27.5
186,27.5
186.5,27.5
187,27.5
187.5,27.5
188,27.5
188.5,27.5
189,27.5
189.5,27.5
190,27.5
190.5,27.5
191,27.4
191.5,27.4
192,27.5
192.5,27.5
193,27.4
193.5,27.4
194,27.4
194.5,27.4
195,27.4
195.5,27.4
196,27.4
196.5,27.4
197,27.4
197.5,27.4
198,27.4
198.5,27.3
199,27.3
199.5,27.3
200,27.3
200.5,27.3
201,27.3
201.5,27.3
202,27.3
202.5,27.3
203,27.3
203.5,27.2
204,27.2
204.5,27.2
205,27.2
205.5,27.2
206,27.2
206.5,27.2
207,27.2
207.5,27.2
208,27.2
208.5,27.1
209,27.1
209.5,27.1
210,27.1
210.5,27.1
211,27.1
211.5,27.1
212,27.1
212.5,27.1
213,27
213.5,27.1
214,27
214.5,27
215,27
215.5,27
216,27
216.5,27
217,27
217.5,27
218,26.9
218.5,26.9
219,26.9
219.5,26.9
220,26.9
220.5,26.9
221,26.9
221.5,26.9
222,26.9
222.5,26.9
223,26.9
223.5,26.9
224,26.8
224.5,26.8
225,26.8
225.5,26.8
226,26.8
226.5,26.7
227,26.7
227.5,26.7
228,26.7
228.5,26.7
229,26.7
229.5,26.7
230,26.7
230.5,26.6
231,26.6
231.5,26.6
232,26.6
232.5,26.6
233,26.6
233.5,26.6
234,26.6
234.5,26.6
235,26.5
235.5,26.6
236,26.5
236.5,26.6
237,26.5
237.5,26.5
238,26.5
238.5,26.5
239,26.5
239.5,26.5
240,26.5
240.5,26.5
241,26.4
241.5,26.4
242,26.4
242.5,26.4
243,26.4
243.5,26.4
244,26.4
244.5,26.4
245,26.3
245.5,26.4
246,26.3
246.5,26.3
247,26.3
247.5,26.3
248,26.3
248.5,26.3
249,26.3
249.5,26.3
250,26.2
250.5,26.2
251,26.2
251.5,26.2
252,26.2
252.5,26.2
253,26.2
253.5,26.2
254,26.1
254.5,26.2
255,26.2
255.5,26.1
256,26.1
256.5,26.1
257,26.1
257.5,26.1
258,26.1
258.5,26.1
259,26.1
259.5,26.1
260,26
260.5,26
261,26
261.5,26
262,26
262.5,26
263,26
263.5,25.9
264,26
264.5,25.9
265,25.9
265.5,25.9
266,25.9
266.5,25.9
267,25.9
267.5,25.9
268,25.9
268.5,25.9
269,25.8
269.5,25.8
270,25.9
270.5,25.8
271,25.8
271.5,25.8
272,25.8
272.5,25.8
273,25.8
273.5,25.8
274,25.8
274.5,25.7
275,25.7
275.5,25.7
276,25.7
276.5,25.7
277,25.7
277.5,25.7
278,25.7
278.5,25.7
279,25.7
279.5,25.7
280,25.7
280.5,25.6
281,25.6
281.5,25.6
282,25.6
282.5,25.6
283,25.6
283.5,25.6
284,25.6
284.5,25.6
285,25.6
285.5,25.6
286,25.6
286.5,25.5
287,25.5
287.5,25.5
288,25.5
288.5,25.5
289,25.5
289.5,25.5
290,25.5
290.5,25.4
291,25.4
291.5,25.4
292,25.4
292.5,25.4
293,25.4
293.5,25.4
294,25.4
294.5,25.4
295,25.4
295.5,25.4
296,25.4
296.5,25.4
297,25.3
297.5,25.3
298,25.3
298.5,25.3
299,25.3
299.5,25.3
300,25.3
300.5,25.3
301,25.3
301.5,25.3
302,25.2
302.5,25.2
303,25.2
303.5,25.2
304,25.2
304.5,25.2
305,25.2
305.5,25.2
306,25.2
306.5,25.2
307,25.2
307.5,25.1
308,25.1
308.5,25.1
309,25.1
309.5,25.1
310,25.1
310.5,25.1
311,25.1
311.5,25.1
312,25.1
312.5,25
313,25
313.5,25.1
314,25
314.5,25
315,25
315.5,25
316,25
316.5,25
317,25
317.5,25
318,24.9
318.5,24.9
319,25
319.5,24.9
320,24.9
320.5,24.9
321,24.9
321.5,24.9
322,24.9
322.5,24.9
323,24.9
323.5,24.9
324,24.8
324.5,24.8
325,24.8
325.5,24.8
326,24.8
326.5,24.8
327,24.8
327.5,24.8
328,24.8
328.5,24.8
329,24.8
329.5,24.8
330,24.7
330.5,24.7
