Thoi_Gian_Giay,Nhiet_Do_C
0.0,29.7
0.5,29.7
1.0,29.7
1.5,29.7
2.0,29.7
2.5,29.7
3.0,29.7
3.5,29.7
4.0,29.7
4.5,29.7
5.0,29.7
5.5,29.7
6.0,29.7
6.5,29.7
7.0,29.7
7.5,29.7
8.0,29.7
8.5,29.7
9.0,29.7
9.5,29.7
10.0,29.7
10.5,29.7
11.0,29.7
11.5,29.7
12.0,29.7
12.5,29.7
13.0,29.7
13.5,29.8
14.0,29.8
14.5,29.8
15.0,29.8
15.5,29.8
16.0,29.8
16.5,29.8
17.0,29.8
17.5,29.8
18.0,29.8
18.5,29.8
19.0,29.8
19.5,29.8
20.0,29.8
20.5,29.9
21.0,29.9
21.5,29.8
22.0,29.8
22.5,29.8
23.0,29.8
23.5,29.8
24.0,29.8
24.5,29.8
25.0,29.8
25.5,29.8
26.0,29.8
26.5,29.9
27.0,29.8
27.5,29.8
28.0,29.8
28.5,29.8
29.0,29.8
29.5,29.8
30.0,29.8
30.5,29.8
31.0,29.8
31.5,29.8
32.0,29.8
32.5,29.8
33.0,29.8
33.5,29.8
34.0,29.8
34.5,29.9
35.0,29.8
35.5,29.8
36.0,29.8
36.5,29.8
37.0,29.8
37.5,29.8
38.0,29.8
38.5,29.8
39.0,29.8
39.5,29.8
40.0,29.8
40.5,29.8
41.0,29.8
41.5,29.8
42.0,29.8
42.5,29.8
43.0,29.8
43.5,29.8
44.0,29.8
44.5,29.8
45.0,29.8
45.5,29.8
46.0,29.8
46.5,29.8
47.0,29.8
47.5,29.8
48.0,29.8
48.5,29.8
49.0,29.8
49.5,29.8
50.0,29.8
50.5,29.8
51.0,29.8
51.5,29.8
52.0,29.8
52.5,29.8
53.0,29.8
53.5,29.7
54.0,29.8
54.5,29.8
55.0,29.8
55.5,29.8
56.0,29.8
56.5,29.8
57.0,29.8
57.5,29.8
58.0,29.8
58.5,29.8
59.0,29.8
59.5,29.8
60.0,29.8
60.5,29.8
61.0,29.8
61.5,29.8
62.0,29.8
62.5,29.8
63.0,29.8
63.5,29.8
64.0,29.8
64.5,29.8
65.0,29.8
65.5,29.8
66.0,29.8
66.5,29.8
67.0,29.8
67.5,29.8
68.0,29.8
68.5,29.8
69.0,29.8
69.5,29.8
70.0,29.8
70.5,29.8
71.0,29.8
71.5,29.8
72.0,29.8
72.5,29.8
73.0,29.8
73.5,29.8
74.0,29.8
74.5,29.7
75.0,29.8
75.5,29.7
76.0,29.8
76.5,29.8
77.0,29.8
77.5,29.7
78.0,29.8
78.5,29.8
79.0,29.8
79.5,29.8
80.0,29.8
80.5,29.8
81.0,29.8
81.5,29.8
82.0,29.7
82.5,29.8
83.0,29.8
83.5,29.8
84.0,29.8
84.5,29.8
85.0,29.8
85.5,29.8
86.0,29.8
86.5,29.8
87.0,29.8
87.5,29.8
88.0,29.8
88.5,29.8
89.0,29.8
89.5,29.8
90.0,29.8
90.5,29.8
91.0,29.8
91.5,29.8
92.0,29.8
92.5,29.8
93.0,29.8
93.5,29.8
94.0,29.8
94.5,29.8
95.0,29.8
95.5,29.8
96.0,29.8
96.5,29.8
97.0,29.8
97.5,29.8
98.0,29.7
98.5,29.8
99.0,29.8
99.5,29.8
100.0,29.8
100.5,29.8
101.0,29.8
101.5,29.8
102.0,29.8
102.5,29.7
103.0,29.8
103.5,29.8
104.0,29.8
104.5,29.7
105.0,29.8
105.5,29.8
106.0,29.8
106.5,29.8
107.0,29.8
107.5,29.7
108.0,29.8
108.5,29.8
109.0,29.8
109.5,29.8
110.0,29.7
110.5,29.8
111.0,29.8
111.5,29.8
112.0,29.7
112.5,29.8
113.0,29.8
113.5,29.8
114.0,29.8
114.5,29.7
115.0,29.8
115.5,29.7
116.0,29.8
116.5,29.8
117.0,29.8
117.5,29.8
118.0,29.8
118.5,29.8
119.0,29.8
119.5,29.8
120.0,29.7
120.5,29.8
121.0,29.8
121.5,29.8
122.0,29.8
122.5,29.8
123.0,29.8
123.5,29.8
124.0,29.7
124.5,29.7
125.0,29.8
125.5,29.8
126.0,29.8
126.5,29.8
127.0,29.8
127.5,29.7
128.0,29.8
128.5,29.8
129.0,29.8
129.5,29.8
130.0,29.8
130.5,29.8
131.0,29.8
131.5,29.8
132.0,29.7
132.5,29.8
133.0,29.8
133.5,29.8
134.0,29.8
134.5,29.8
135.0,29.8
135.5,29.8
136.0,29.8
136.5,29.8
137.0,29.8
137.5,29.8
138.0,29.8
138.5,29.7
139.0,29.8
139.5,29.8
140.0,29.8
140.5,29.8
141.0,29.8
141.5,29.7
142.0,29.8
142.5,29.8
143.0,29.8
143.5,29.7
144.0,29.8
144.5,29.8
145.0,29.8
145.5,29.8
146.0,29.8
146.5,29.8
147.0,29.8
147.5,29.8
148.0,29.8
148.5,29.8
149.0,29.8
149.5,29.8
150.0,29.8
150.5,29.8
151.0,29.8
151.5,29.8
152.0,29.8
152.5,29.8
153.0,29.8
153.5,29.7
154.0,29.8
154.5,29.8
155.0,29.8
155.5,29.8
156.0,29.8
156.5,29.8
157.0,29.8
157.5,29.8
158.0,29.8
158.5,29.8
159.0,29.8
159.5,29.8
160.0,29.8
160.5,29.8
161.0,29.8
161.5,29.8
162.0,29.7
162.5,29.8
163.0,29.8
163.5,29.8
164.0,29.8
164.5,29.8
165.0,29.8
165.5,29.8
166.0,29.8
166.5,29.8
167.0,29.7
167.5,29.8
168.0,29.8
168.5,29.8
169.0,29.7
169.5,29.8
170.0,29.8
