Thoi_Gian_Giay,Nhiet_Do_C
0,30.3
0.5,30.3
1,30.3
1.5,30.3
2,30.3
2.5,30.3
3,30.3
3.5,30.3
4,30.3
4.5,30.3
5,30.3
5.5,30.3
6,30.3
6.5,30.3
7,30.3
7.5,30.3
8,30.3
8.5,30.3
9,30.3
9.5,30.3
10,30.3
10.5,30.3
11,30.3
11.5,30.3
12,30.3
12.5,30.3
13,30.3
13.5,30.3
14,30.3
14.5,30.3
15,30.3
15.5,30.3
16,30.3
16.5,30.3
17,30.3
17.5,30.3
18,30.3
18.5,30.3
19,30.3
19.5,30.3
20,30.3
20.5,30.3
21,30.3
21.5,30.3
22,30.3
22.5,30.3
23,30.3
23.5,30.3
24,30.3
24.5,30.3
25,30.3
25.5,30.3
26,30.3
26.5,30.3
27,30.3
27.5,30.3
28,30.3
28.5,30.3
29,30.3
29.5,30.3
30,30.3
30.5,30.3
31,30.3
31.5,30.3
32,30.3
32.5,30.3
33,30.3
33.5,30.3
34,30.3
34.5,30.3
35,30.3
35.5,30.3
36,30.3
36.5,30.3
37,30.3
37.5,30.3
38,30.3
38.5,30.3
39,30.3
39.5,30.3
40,30.3
40.5,30.3
41,30.3
41.5,30.3
42,30.3
42.5,30.3
43,30.3
43.5,30.3
44,30.3
44.5,30.3
45,30.3
45.5,30.3
46,30.3
46.5,30.3
47,30.3
47.5,30.3
48,30.3
48.5,30.3
49,30.3
49.5,30.3
50,30.3
50.5,30.3
51,30.3
51.5,30.3
52,30.3
52.5,30.3
53,30.3
53.5,30.3
54,30.3
54.5,30.3
55,30.3
55.5,30.3
56,30.3
56.5,30.3
57,30.3
57.5,30.3
58,30.3
58.5,30.3
59,30.3
59.5,30.3
60,30.3
60.5,30.3
61,30.3
61.5,30.3
62,30.3
62.5,30.3
63,30.3
63.5,30.3
64,30.3
64.5,30.3
65,30.3
65.5,30.3
66,30.3
66.5,30.3
67,30.3
67.5,30.3
68,30.4
68.5,30.3
69,30.3
69.5,30.3
70,30.3
70.5,30.3
71,30.4
71.5,30.3
72,30.3
72.5,30.3
73,30.3
73.5,30.3
74,30.3
74.5,30.3
75,30.3
75.5,30.3
76,30.3
76.5,30.3
77,30.3
77.5,30.4
78,30.3
78.5,30.3
79,30.3
79.5,30.3
80,30.3
80.5,30.3
81,30.3
81.5,30.3
82,30.3
82.5,30.3
83,30.3
83.5,30.3
84,30.3
84.5,30.3
85,30.3
85.5,30.3
86,30.3
86.5,30.3
87,30.3
87.5,30.3
88,30.3
88.5,30.3
89,30.3
89.5,30.3
90,30.3
90.5,30.4
91,30.3
91.5,30.4
92,30.4
92.5,30.3
93,30.3
93.5,30.4
94,30.3
94.5,30.4
95,30.4
95.5,30.3
96,30.3
96.5,30.3
97,30.3
97.5,30.4
98,30.3
98.5,30.3
99,30.3
99.5,30.3
100,30.4
100.5,30.4
101,30.4
101.5,30.4
102,30.3
102.5,30.3
103,30.4
103.5,30.3
104,30.4
104.5,30.3
105,30.4
105.5,30.3
106,30.4
106.5,30.4
107,30.3
107.5,30.4
108,30.4
108.5,30.4
109,30.3
109.5,30.3
110,30.3
110.5,30.3
111,30.3
111.5,30.4
112,30.4
112.5,30.3
113,30.4
113.5,30.4
114,30.4
114.5,30.3
115,30.3
115.5,30.4
116,30.4
116.5,30.4
117,30.4
117.5,30.3
118,30.4
118.5,30.4
119,30.4
119.5,30.3
120,30.4
120.5,30.3
121,30.4
121.5,30.4
122,30.4
122.5,30.3
123,30.4
123.5,30.4
124,30.3
124.5,30.4
125,30.4
125.5,30.4
126,30.4
126.5,30.4
127,30.4
127.5,30.4
128,30.4
128.5,30.4
129,30.4
129.5,30.4
130,30.4
130.5,30.4
131,30.4
131.5,30.4
132,30.4
132.5,30.4
133,30.4
133.5,30.4
134,30.4
134.5,30.4
135,30.4
135.5,30.4
136,30.4
136.5,30.4
137,30.4
137.5,30.4
138,30.4
138.5,30.4
139,30.4
139.5,30.4
140,30.4
140.5,30.4
141,30.4
141.5,30.4
142,30.4
142.5,30.4
143,30.4
143.5,30.4
144,30.4
144.5,30.4
145,30.4
145.5,30.4
146,30.4
146.5,30.4
147,30.4
147.5,30.4
148,30.4
148.5,30.4
149,30.4
149.5,30.4
150,30.5
150.5,30.4
151,30.4
151.5,30.5
152,30.4
152.5,30.5
153,30.4
153.5,30.4
154,30.5
154.5,30.5
155,30.4
155.5,30.4
156,30.4
156.5,30.5
157,30.4
157.5,30.4
158,30.4
158.5,30.4
159,30.4
159.5,30.4
160,30.4
160.5,30.4
161,30.4
161.5,30.5
162,30.5
162.5,30.4
163,30.4
163.5,30.4
164,30.4
164.5,30.4
165,30.4
165.5,30.4
166,30.5
166.5,30.5
167,30.4
167.5,30.4
168,30.4
168.5,30.4
169,30.5
169.5,30.5
170,30.5
170.5,30.5
171,30.5
171.5,30.5
172,30.5
172.5,30.5
173,30.5
173.5,30.4
174,30.5
174.5,30.4
175,30.5
175.5,30.5
176,30.5
176.5,30.4
177,30.5
177.5,30.5
178,30.5
178.5,30.5
179,30.5
179.5,30.5
180,30.5
180.5,30.5
181,30.5
181.5,30.5
182,30.5
182.5,30.5
183,30.5
183.5,30.5
184,30.5
184.5,30.5
185,30.5
185.5,30.5
186,30.5
186.5,30.5
187,30.5
187.5,30.5
188,30.5
188.5,30.5
189,30.5
189.5,30.5
190,30.5
190.5,30.5
191,30.5
191.5,30.5
192,30.5
192.5,30.5
193,30.5
193.5,30.5
194,30.5
194.5,30.5
195,30.5
195.5,30.5
196,30.5
196.5,30.5
197,30.5
197.5,30.5
198,30.5
198.5,30.5
199,30.5
199.5,30.5
200,30.5
200.5,30.5
201,30.6
201.5,30.5
202,30.6
202.5,30.5
203,30.5
203.5,30.5
204,30.5
204.5,30.5
205,30.5
205.5,30.6
206,30.5
206.5,30.5
207,30.5
207.5,30.5
208,30.5
208.5,30.5
209,30.6
209.5,30.5
210,30.5
210.5,30.5
211,30.5
211.5,30.5
212,30.5
212.5,30.5
213,30.5
213.5,30.5
214,30.6
214.5,30.5
215,30.5
215.5,30.5
216,30.6
216.5,30.5
217,30.6
217.5,30.6
218,30.6
218.5,30.6
219,30.5
219.5,30.5
220,30.5
220.5,30.6
221,30.5
221.5,30.5
222,30.6
222.5,30.6
223,30.6
223.5,30.5
224,30.6
224.5,30.5
225,30.6
225.5,30.6
226,30.6
226.5,30.6
227,30.5
227.5,30.5
228,30.5
228.5,30.6
229,30.6
229.5,30.6
230,30.6
230.5,30.6
231,30.6
231.5,30.6
232,30.5
232.5,30.6
233,30.6
233.5,30.6
234,30.6
234.5,30.6
235,30.6
235.5,30.6
236,30.6
236.5,30.6
237,30.6
237.5,30.6
238,30.6
238.5,30.6
239,30.6
239.5,30.6
240,30.6
240.5,30.6
241,30.6
241.5,30.6
242,30.6
242.5,30.6
243,30.6
243.5,30.6
244,30.6
244.5,30.6
245,30.6
245.5,30.6
246,30.6
246.5,30.6
247,30.6
247.5,30.6
248,30.6
248.5,30.6
249,30.6
249.5,30.6
250,30.6
250.5,30.6
251,30.6
251.5,30.6
252,30.6
252.5,30.6
253,30.6
253.5,30.6
254,30.6
254.5,30.6
255,30.6
255.5,30.6
256,30.6
256.5,30.6
257,30.6
257.5,30.6
258,30.6
258.5,30.6
259,30.6
259.5,30.6
260,30.6
260.5,30.6
261,30.7
261.5,30.6
262,30.6
262.5,30.6
263,30.7
263.5,30.7
264,30.6
264.5,30.6
265,30.6
265.5,30.6
266,30.7
266.5,30.7
267,30.6
267.5,30.6
268,30.6
268.5,30.6
269,30.6
269.5,30.6
270,30.6
270.5,30.6
271,30.7
271.5,30.7
272,30.6
272.5,30.6
273,30.7
273.5,30.6
274,30.6
274.5,30.6
275,30.6
275.5,30.7
276,30.6
276.5,30.7
277,30.6
277.5,30.7
278,30.6
278.5,30.6
279,30.7
279.5,30.7
280,30.6
280.5,30.7
281,30.6
281.5,30.6
282,30.7
282.5,30.7
283,30.7
283.5,30.7
284,30.7
284.5,30.6
285,30.6
285.5,30.7
286,30.7
286.5,30.7
287,30.6
287.5,30.7
288,30.7
288.5,30.7
289,30.6
289.5,30.7
290,30.7
290.5,30.7
291,30.7
291.5,30.7
292,30.7
292.5,30.7
